9/24 00:37:46.579  ---- Startup ----
9/24 00:37:47.421  	Requesting TactKey RecID 15
9/24 00:37:59.637  	109878 Table SoundKit RecID 367477 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367478 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367481 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367484 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367485 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKit RecID 367486 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65220 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65221 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65222 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65223 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65224 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65225 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65226 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65227 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65228 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65229 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65230 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65231 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65232 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65233 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65234 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65235 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65236 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65237 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65238 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65239 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65240 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65241 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65242 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65243 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65244 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundFidget RecID 65245 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 739265 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 748918 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 748923 VALIDATION_RESULT_DELETE
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 776142 VALIDATION_RESULT_VALID
